trait_id,career_name,O,C,E,A,N
784, IT Architect- Big Data,0.73,0.9,0.32,0.68,0.36
785,Data Warehouse/Analytics Architect-Houston Location,0.84,0.83,0.41,0.6,0.4
786, Automation Architect,0.71,0.92,0.43,0.49,0.17
787,Senior Technical Architect,0.89,0.84,0.42,0.39,0.21
788,BI & Reporting: Data Architect / DBA,0.76,0.83,0.28,0.58,0.28
789, Information Architect - Enterprise Data Integration,0.8,0.93,0.27,0.63,0.22
790, Manager Big Data Architect,0.65,0.88,0.37,0.58,0.25
791, Associate Architect I - Unlicensed,0.7,0.97,0.49,0.38,0.2
792,Associate Architect I,0.87,0.99,0.38,0.36,0.16
793,Data Architect - Teradata,0.76,0.83,0.26,0.67,0.2
794, Architectural Intern,0.86,0.86,0.31,0.47,0.23
795,Data Warehouse Architect,0.84,0.86,0.31,0.69,0.25
796, Data Architecture Manager,0.83,0.82,0.36,0.56,0.29
797,Machine Learning Big Data Engineer,0.82,0.91,0.29,0.6,0.36
798, Data Management & Integration Engineer,0.84,0.77,0.34,0.62,0.37
799,Magnetic Sensor Device Engineer,0.72,0.84,0.45,0.36,0.25
800," Production Engineer, Intern/Co-Op",0.79,0.87,0.38,0.46,0.18
801," Engineer I, Technical",0.81,0.96,0.45,0.38,0.18
802,Data/BI Engineer,0.7,0.82,0.33,0.69,0.21
803, Technical Support Engineer (Entry-level),0.71,0.88,0.44,0.39,0.28
804, Audio Archivist & QC Engineer,0.75,0.98,0.48,0.41,0.2
805, Quality Engineer,0.78,0.85,0.43,0.52,0.28
806, Data Operations Engineer,0.81,0.83,0.28,0.7,0.27
807, Saw Operator – 1st Shift,0.68,0.6,0.57,0.75,0.43
808, Boiler Operator,0.75,0.75,0.71,0.68,0.52
809,Network Engineer Intern,0.87,0.86,0.39,0.47,0.23
810,CCBD Technology - Marcus Data Engineer,0.74,0.82,0.36,0.72,0.24
811,Human Factors Engineer,0.89,0.94,0.46,0.46,0.31
812,"Engineer, Applications",0.7,0.96,0.31,0.53,0.35
813,Wafer Metrology Data Development Engineer,0.71,0.79,0.4,0.6,0.37
814, SQL/Oracle Data - Assoc IT Engineer,0.67,0.78,0.45,0.68,0.37
815,Data Entry Specialist,0.71,0.89,0.37,0.67,0.34
816,Transportation Specialist I,0.67,0.64,0.61,0.7,0.45
817,Surface Analysis Engineer - 1st Shift,0.84,0.85,0.43,0.5,0.19
818, Data Engineer II,0.66,0.78,0.37,0.72,0.21
819,Data Science Engineer,0.8,0.82,0.35,0.74,0.27
820,Data Engineer I,0.74,0.75,0.27,0.6,0.21
821,Maintenance Engineer (Entry-Level),0.78,0.84,0.36,0.58,0.26
822,Assistant Chief Bldg Engineer (Data Center) 2nd Shift,0.78,0.94,0.26,0.73,0.32
823, Water Quality/Permitting Engineer/Scientist-in-Training II or III,0.76,0.85,0.26,0.57,0.32
824, Data Center SAN SW Engineer,0.72,0.93,0.33,0.58,0.34
825,Software Engineer - Data Movement,0.71,0.86,0.39,0.73,0.36
826, Data Facilities Engineer,0.79,0.89,0.44,0.61,0.2
827, Software Engineer - Data Flow,0.7,0.79,0.38,0.68,0.32
828, Spark Data Engineer,0.65,0.9,0.31,0.68,0.31
829,CREATIVE DESIGN ENGINEER I,0.77,0.83,0.32,0.52,0.33
830, Data (Tracking) Engineer,0.78,0.77,0.33,0.7,0.36
831,Systems Engineer,0.72,0.8,0.44,0.42,0.2
832,Infotainment System Test Engineer - Entry Level (CM),0.65,0.86,0.42,0.74,0.31
833,Senior Management Engineer,0.8,0.82,0.41,0.43,0.27
834,R &D Technician - One Global Cereal,0.63,0.6,0.57,0.61,0.42
835,New Technologies Data Scientist/ Engineer,0.69,0.95,0.34,0.66,0.37
836," Hardware Engineer, Data Center Connectivity",0.85,0.87,0.41,0.62,0.26
837, Data Analyst / Engineer,0.73,0.88,0.39,0.61,0.23
838,Systems Engineer - Data Center Team (Animation Studios),0.78,0.78,0.37,0.69,0.34
839,Entry-level Engineer (ME or EE),0.85,0.97,0.4,0.5,0.27
840,Data Management / Archiving Engineer - OPS,0.69,0.76,0.31,0.64,0.32
841, Security Engineer - Data Protection,0.82,0.79,0.28,0.74,0.22
842,"data engineer II, Starbucks Technology - Seattle, WA",0.75,0.87,0.36,0.57,0.21
843, Senior Data Center Virtualization Engineer,0.67,0.87,0.36,0.6,0.33
844,"Data Science Engineer ∞ (Maplewood, MN)",0.81,0.76,0.35,0.69,0.25
845,"Research Engineer Associate / Cambridge, MA",0.71,0.87,0.43,0.71,0.32
846,Software Engineer - Data,0.8,0.82,0.38,0.64,0.24
847, Urban Farmer & Installation Team Member,0.69,0.66,0.62,0.73,0.4
848, IT Facility Desktop Engineer II,0.76,0.81,0.45,0.49,0.22
849,"Software Engineer, Data",0.79,0.83,0.4,0.64,0.28
850, Data Engineer - University Students,0.84,0.8,0.27,0.67,0.39
851, Estimator/Engineer - Data Center,0.73,0.76,0.32,0.65,0.23
852,End User Services Engineer,0.83,1.0,0.39,0.42,0.23
853, Escalation Engineer,0.72,0.98,0.38,0.43,0.28
854, Technical Support Engineer,0.79,0.93,0.31,0.51,0.34
855, Production Operations Industrial Engineer - 1st Shift,0.83,0.99,0.33,0.45,0.27
856,Manufacturing Engineer (Re-Entry),0.82,0.88,0.37,0.38,0.23
857,Associate Data Engineer,0.68,0.9,0.29,0.56,0.31
858, Data Engineer for Market Intelligence,0.77,0.92,0.37,0.62,0.36
859, Data Center Facility Operations Chemical Engineer,0.76,0.77,0.36,0.73,0.28
860, Coordinator - Aircraft Records,0.71,0.78,0.28,0.64,0.32
861,Digital Innovation - Data Engineer,0.67,0.94,0.4,0.67,0.37
862,Counter Measures (CMS) Intern,0.57,0.65,0.68,0.72,0.56
863,Powertrain Solutions Calibration Intern (Starting August 2018/Year Round),0.71,0.94,0.27,0.73,0.39
864, Network Engineer (Intern) - United States,0.74,0.94,0.31,0.43,0.25
865,Entry Level Bridge Design Engineer,0.82,0.99,0.43,0.45,0.31
866,Data science engineer,0.84,0.75,0.45,0.57,0.36
867, Data Warehouse Engineer,0.71,0.78,0.34,0.68,0.28
868," Software Engineer, Backend (Data Insights)",0.66,0.87,0.43,0.63,0.24
869," Cloud Data Engineer, Google Professional Services",0.74,0.76,0.41,0.72,0.32
870,Network Engineer II - Data Center Engineering,0.72,0.91,0.36,0.72,0.33
871,Data Center Engineer,0.81,0.87,0.33,0.74,0.31
872,Autonomous Driving - Sensor Data Fusion Research Engineer,0.77,0.79,0.38,0.66,0.24
873, Data Migration Specialist 2,0.66,0.87,0.4,0.65,0.25
874," HRIS Specialist (Data Entry, SAP Reporting) - Austin, Texas",0.78,0.77,0.34,0.58,0.24
875, Program Manager,0.54,0.73,0.81,0.83,0.55
876, Quality Data Specialist,0.75,0.83,0.42,0.58,0.3
877,"Director, Business Process & Quality Programs",0.51,0.66,0.91,0.86,0.63
878, Data Entry Manager,0.76,0.94,0.26,0.57,0.21
879, Quality Assurance Manager,0.54,0.76,0.93,0.76,0.64
880, Quality Manager,0.67,0.71,0.82,0.78,0.48
881,Data Center Training and Development Program Manager,0.67,0.85,0.3,0.62,0.4
882,Salesforce Admin & Data Systems Manager,0.79,0.94,0.28,0.63,0.31
883," Manager, Quality Assurance (QA)",0.52,0.65,0.93,0.88,0.53
884,Quality Assurance Specialist,0.65,0.63,0.55,0.62,0.44
885,"Area Manager, GG-0301-13, Census-EXT-KTE",0.52,0.84,0.92,0.9,0.51
886,Application Development Team Manager,0.58,0.7,0.82,0.79,0.61
887, Product Manager I,0.64,0.76,0.9,0.93,0.46
888,Hospital Service Quality Manager,0.56,0.72,0.96,0.95,0.5
889, Receptionist,0.72,0.72,0.59,0.63,0.48
890, Plant Operator (In Training/I/II),0.85,0.79,0.41,0.62,0.35
891, HR & Quality Assurance Coordinator,0.43,0.82,0.82,0.96,0.67
892,Parts Manager,0.51,0.79,0.83,0.83,0.56
893, HIV Surveillance Data Manager,0.73,0.85,0.45,0.58,0.34
894, Data Quality Analyst,0.73,0.78,0.28,0.74,0.38
895, Patient Care Technician - Grade 279,0.73,0.75,0.59,0.62,0.53
896,Data Integration Manager,0.75,0.83,0.32,0.67,0.32
897, Data Entry - Lab Assistant,0.68,0.84,0.36,0.66,0.24
898,Manager (226 Days),0.65,0.66,0.87,0.91,0.56
899,Production Manager,0.55,0.79,0.91,0.91,0.6
900, Quality Coordinator II,0.67,0.65,0.58,0.6,0.48
901, General Manager,0.62,0.75,0.86,0.75,0.55
902,DCHS Initiatives Evaluation Manager,0.56,0.8,0.8,0.87,0.64
903,Training Program Manager,0.68,0.84,0.27,0.68,0.31
904,Operator I,0.63,0.65,0.73,0.59,0.4
905, Mgr. - Quality Assurance,0.72,0.67,0.73,0.67,0.56
906, Sr Quality Associate / Quality Manager,0.59,0.8,0.98,0.86,0.49
907,Data Product Manager,0.7,0.79,0.3,0.61,0.31
908,(Senior) Data Partnerships Manager,0.77,0.84,0.37,0.57,0.22
909, Quality Specialist,0.58,0.65,0.59,0.61,0.48
910,General Supervisor Quality (GSQ),0.71,0.55,0.68,0.68,0.56
911,Life Time Work Manager,0.69,0.65,0.83,0.93,0.54
912,"Manager, Quality Control",0.61,0.78,0.94,0.94,0.65
913,Quality System Manager,0.64,0.71,0.98,0.76,0.5
914, Quality Control Manager,0.68,0.7,0.84,0.78,0.62
915,Clinical Quality Manager,0.6,0.78,0.85,0.9,0.6
916,"Quality Food Safety (QFS) Manager-Spokane, WA",0.56,0.73,0.84,0.95,0.58
917, DISTRICT MANAGER (PARKING),0.69,0.71,0.96,0.9,0.59
918, Clinical Data Manager III,0.84,0.83,0.28,0.68,0.35
919, Claims Specialist I,0.77,0.79,0.35,0.61,0.29
920,"Coordinator, Research Data - Leukemia",0.78,0.9,0.3,0.63,0.25
921,"Manager, Biostatistics and Data Management (Neurovascular)",0.69,0.91,0.43,0.62,0.35
922, Data Quality Tester,0.83,0.92,0.29,0.74,0.28
923,Gas Quality Information Analyst - (San Ramon or Morgan Hill),0.72,0.76,0.35,0.57,0.25
924,Quality Manager,0.56,0.81,0.98,0.81,0.62
925,"Youth Recreation Program Manager, 1.0 FTE",0.67,0.8,0.83,0.89,0.64
926,Quality & Commercialization Manager,0.64,0.72,0.9,0.88,0.55
927, Global Supplier QA Project Manager,0.52,0.71,0.96,0.92,0.48
928," Manager, Manufacturing Quality Engineering",0.89,0.87,0.43,0.5,0.31
929,Data Manager (Research Associate),0.84,0.81,0.42,0.58,0.34
930,"Production Quality Manager, Cabinetry",0.65,0.79,0.85,0.92,0.48
931,Regional Client Data Administration Manager,0.66,0.89,0.35,0.72,0.28
932,"Program Manager, Maintenance Excellence, Global Data Centers",0.68,0.92,0.36,0.59,0.34
933, Clinical Research Data Manager 2,0.75,0.87,0.34,0.72,0.37
934, Systems Manager - Lynch School,0.64,0.67,0.97,0.88,0.59
935, Quality Control Project Manager,0.57,0.83,0.95,0.77,0.53
936,"MANAGER, QUALITY MANAGEMENT",0.68,0.66,0.99,0.89,0.58
937," Quality Control Manager - Houston, TX",0.55,0.7,0.99,0.81,0.61
938, Quality Food Safety Manager,0.58,0.68,0.8,0.86,0.65
939, Customer Quality Manager,0.57,0.72,0.87,0.85,0.54
940," Data Quality Manager, VP",0.83,0.85,0.35,0.58,0.4
941, Manager POL Telecommunication,0.55,0.66,0.93,0.87,0.53
942,"District Manager - can sit in Detroit MI, Cleveland or Columbus OH",0.58,0.81,0.84,0.91,0.58
943,Program Manager - School Counseling - 1.0 FTE,0.58,0.74,0.85,0.9,0.55
944,"Manager, Development Sciences Quality",0.56,0.77,1.0,0.84,0.63
945, NA Quality Manager,0.57,0.66,0.84,0.83,0.49
946, Manager of Customer Success,0.5,0.83,0.97,0.9,0.48
947, Quality Control Technician,0.57,0.56,0.69,0.74,0.49
948,"Quality Manager Hopkins, MN USA",0.52,0.75,0.87,0.82,0.57
949,"Manager, Data",0.79,0.77,0.26,0.75,0.25
950," Program Manager, AVID for Higher Education",0.51,0.69,0.81,0.83,0.61
951,Data Entry/Mail Specialist (9AM-6PM),0.72,0.84,0.39,0.65,0.37
952, Manager - Radiology Quality Improvement,0.67,0.65,0.96,0.84,0.65
953,Production Quality Improvement Manager,0.6,0.85,0.95,0.8,0.56
954,Sr. Manager Data Governance (AMGA627),0.85,0.92,0.27,0.69,0.27
955, Quality Coordinator,0.55,0.63,0.6,0.71,0.47
956,Project Manager I - Data Governance,0.82,0.75,0.31,0.6,0.25
957, Quality & Commercialization Manager (Seattle Based),0.51,0.69,0.91,0.81,0.53
958, Data Quality Analyst - Computers/Home Theater,0.73,0.93,0.43,0.65,0.27
959,Front Desk,0.57,0.74,0.56,0.61,0.46
960,Quality Assurance Analyst,0.71,0.78,0.41,0.57,0.33
961, Medical Record Data Abstractor,0.67,0.76,0.43,0.59,0.36
962, Production Manager,0.61,0.67,0.99,0.8,0.62
963,Quality Manager - Synrad,0.53,0.82,0.8,0.85,0.6
964,"MNJIS Assistant Director - IT Delivery and Support - MNIT Division Manager
1",0.69,0.83,0.96,0.93,0.49
965, Equipment Manager,0.56,0.71,0.88,0.83,0.56
966,Quality Improvement Manager,0.53,0.79,0.83,0.81,0.55
967,"Manager I, Master Data Office (MDO)",0.81,0.9,0.38,0.58,0.31
968,CIBMTR Data Manager,0.67,0.83,0.33,0.56,0.25
969,Compliance Manager,0.69,0.84,0.87,0.76,0.49
970, Senior Data Quality Tester PSJH,0.73,0.94,0.28,0.7,0.22
971, Advanced Quality Planning Manager,0.7,0.73,0.96,0.82,0.58
972,"Manager, Quality Concerns",0.54,0.68,0.99,0.93,0.63
973,Site Quality Manager,0.63,0.81,0.81,0.82,0.51
974,"Director, Global Merchant Data",0.78,0.82,0.28,0.67,0.36
975,Clinical Research Neuroimaging Data Manager,0.73,0.78,0.29,0.6,0.26
976, Quality Technologist,0.68,0.67,0.69,0.62,0.56
977," Manager, AP",0.54,0.74,0.96,0.79,0.47
978,Data Warehousing Research Manager - Collaborative Research Unit,0.83,0.82,0.39,0.56,0.34
979,Clinical Data Manager,0.71,0.76,0.37,0.6,0.28
980, People Data Privacy Specialist,0.67,0.78,0.31,0.57,0.38
981, Sr. Manager Quality Control,0.5,0.75,0.82,0.81,0.64
982, Quality Improvement Coordinator,0.58,0.74,0.59,0.7,0.51
983, Supplier Quality Manager,0.68,0.76,0.91,0.79,0.48
984," Manager, Master Data Management",0.83,0.82,0.32,0.7,0.27
985, Supply Chain Manager,0.84,0.9,0.37,0.73,0.21
986,MOLDING PACKER,0.6,0.64,0.6,0.7,0.58
987,"Data Scientist, Analytics",0.73,0.82,0.44,0.64,0.3
988,Governance & Compliance Associate Principal Scientist,0.72,0.93,0.36,0.7,0.36
989,Analyst - Data Operations,0.72,0.84,0.42,0.62,0.36
990, R&D Scientist II,0.84,0.87,0.4,0.71,0.37
991,Data Scientist,0.73,0.76,0.33,0.68,0.29
992,Data Scientist ML,0.8,0.82,0.38,0.59,0.35
993, Data Scientist - Analytics Engineering,0.76,0.79,0.31,0.7,0.3
994,Data Science/Machine Learning - Internship,0.69,0.94,0.39,0.74,0.29
995," Data Scientist, Analytics - Ads Foundations",0.75,0.93,0.36,0.69,0.25
996,Environmental Remote Sensing Data Scientist,0.74,0.77,0.29,0.55,0.21
997,Data Scientist - Marketing,0.85,0.8,0.38,0.72,0.31
998, Sr. Data Scientist,0.68,0.9,0.37,0.7,0.35
999, Growth Data Scientist,0.85,0.86,0.32,0.68,0.21
1000,Data Scientist - TX,0.83,0.77,0.32,0.71,0.32
1001, Senior Data Scientist,0.73,0.84,0.42,0.62,0.37
1002,"Data Scientist and Engineer, Early Career",0.67,0.91,0.42,0.59,0.29
1003,"Business Analyst, Advisory - Data Analysis",0.68,0.89,0.36,0.68,0.24
1004,Data & Applied Scientist,0.69,0.76,0.31,0.66,0.37
1005," Associate Director, Data Scientist (Information Architecture)",0.78,0.84,0.44,0.69,0.39
1006, Data Scientist -Transit,0.76,0.8,0.26,0.7,0.22
1007, Data Experience,0.71,0.86,0.36,0.67,0.23
1008, Researcher 1,0.73,0.87,0.44,0.7,0.38
1009, Data Scientist Intern,0.8,0.87,0.29,0.68,0.32
1010, ENVIRONMENTAL SCIENTIST - AIR,0.77,0.85,0.36,0.62,0.3
1011,"Data Scientist, Health Technology",0.69,0.91,0.29,0.57,0.29
1012, Junior Data Scientist,0.78,0.84,0.31,0.66,0.27
1013, Data Scientist (EG),0.84,0.93,0.35,0.62,0.35
1014,STOPS RESEARCH SCIENTIST 1,0.66,0.84,0.32,0.73,0.2
1015,Engineering Scientist - Sediment and Ocean Acoustics Researcher,0.76,0.9,0.35,0.57,0.39
1016, Clinical Data Scientist,0.75,0.87,0.3,0.65,0.29
1017,"Data Scientist, NSW",0.66,0.77,0.42,0.6,0.24
1018,"Data Scientist, Patient Messaging",0.75,0.9,0.26,0.67,0.22
1019,"Consultant, Reporting & Data Analysis",0.66,0.76,0.42,0.57,0.21
1020, Junior Data Scientist- MI and AI,0.74,0.92,0.3,0.63,0.21
1021,DATA SCIENTIST,0.74,0.87,0.36,0.62,0.26
1022,Enterprise Analytics - Data Scientist,0.67,0.82,0.27,0.7,0.39
1023, Data Scientist — Applied Research,0.84,0.92,0.37,0.69,0.26
1024," Data Scientist, Audience Science",0.78,0.84,0.35,0.7,0.26
1025,"Manager, Products - Data Scientist",0.71,0.93,0.26,0.65,0.38
1026,Multi-Int Data Scientist,0.77,0.86,0.3,0.62,0.37
1027, Data Coordinator I,0.76,0.85,0.27,0.55,0.39
1028,Global Data Insight & Analytics,0.73,0.87,0.27,0.69,0.39
1029, Research and Data Analyst,0.77,0.78,0.37,0.7,0.28
1030, Data Analysis Intern,0.83,0.88,0.43,0.67,0.23
1031, Research Scientist,0.71,0.79,0.43,0.7,0.34
1032,Senior Data Scientist - SEM,0.71,0.79,0.4,0.64,0.25
1033," Data Scientist, Analytics (Integrity)",0.77,0.76,0.32,0.64,0.23
1034, DBHi Data Scientist I,0.85,0.79,0.28,0.59,0.35
1035," Data Scientist, Marketing Science R&D",0.74,0.86,0.25,0.56,0.29
1036, Data Analyst - Public Education Data Analysis,0.81,0.93,0.27,0.66,0.38
1037, Product Data Management Specialist - Entry Level,0.73,0.92,0.28,0.74,0.35
1038, Data Scientist in Food Animal Biology and Production Systems,0.84,0.89,0.32,0.74,0.26
1039,Biological Scientist,0.72,0.89,0.4,0.74,0.24
1040, Research Scientist-Blockchain and Data Analytics,0.81,0.9,0.26,0.63,0.26
1041, Data & Applied Scientist 2,0.71,0.95,0.38,0.69,0.4
1042, Data Scientist Job,0.73,0.91,0.34,0.72,0.24
1043, ENVIRONMENTAL SCIENTIST 2 - PERMIT WRITER,0.84,0.79,0.32,0.7,0.28
1044,Data Scientist - Summer Intern - University Students,0.77,0.84,0.4,0.6,0.21
1045, Fraud Decision Scientist,0.71,0.84,0.28,0.62,0.28
1046,"Associate Director, Data Scientist (Information Architecture)",0.66,0.87,0.43,0.58,0.32
1047, Distinguished Data Scientist,0.78,0.83,0.39,0.63,0.3
1048,Data Scientist I,0.65,0.89,0.38,0.56,0.27
1049,Data Scientist II,0.85,0.83,0.35,0.73,0.34
1050,Data Science Generalist,0.77,0.91,0.42,0.64,0.3
1051, Data Scientist -COR Administration,0.73,0.94,0.39,0.57,0.37
1052, Solutions Architect/Data Scientist,0.75,0.76,0.36,0.63,0.38
1053, Data Scientist (Deep Learning),0.69,0.92,0.36,0.56,0.39
1054, GDIA Data Operations Analyst,0.75,0.81,0.34,0.72,0.26
1055,Associate Data Scientist,0.69,0.78,0.31,0.71,0.29
1056,Customer Data Scientist,0.7,0.78,0.32,0.74,0.27
1057,"Data Scientist, Engineering",0.85,0.85,0.29,0.73,0.29
1058, Sr Data Scientist,0.79,0.95,0.26,0.57,0.34
1059," Data Scientist, Austin",0.71,0.79,0.26,0.55,0.35
1060," Data Scientist, Digital",0.68,0.84,0.37,0.64,0.21
1061, Master Data Systems Specialist Principal – PSJH,0.81,0.75,0.4,0.73,0.29
1062, Operations Research Analyst 3,0.76,0.85,0.33,0.73,0.38
1063,Service Engineer II,0.77,0.92,0.49,0.54,0.25
1064,Sr Data Analyst,0.74,0.81,0.44,0.58,0.32
1065,"Researcher, Resource Tracking",0.71,0.81,0.33,0.75,0.21
1066, Expert Software Engineer in Test,0.82,0.82,0.33,0.44,0.25
1067, ETL Developer II (S00768P),0.75,0.86,0.32,0.41,0.34
1068,Python Developer - Data Analysis,0.84,0.82,0.36,0.73,0.2
1069,Staff Data Scientist- 180760,0.81,0.94,0.27,0.58,0.39
1070," Consultant, Data Scientist",0.76,0.75,0.3,0.64,0.34
1071,Data Scientists Analyst,0.8,0.95,0.31,0.66,0.31
1072, Consultant - Analytics Consulting,0.63,0.58,0.75,0.72,0.5
1073, Data & Applied Scientist-Analysis & Insights,0.77,0.8,0.36,0.69,0.3
1074, BI Implementation Expert,0.75,0.67,0.62,0.7,0.43
1075,Clinical Database Analyst / SQL Developer,0.73,0.82,0.34,0.71,0.3
1076,Local Analytics Manager - Phoenix,0.66,0.77,0.87,0.91,0.5
1077,Sr Business Systems Analyst,0.69,0.85,0.3,0.55,0.33
1078, Senior Data Analyst - People & Performance,0.75,0.84,0.44,0.66,0.37
1079," Data Engineer, Marketing & Sales",0.68,0.86,0.42,0.67,0.34
1080," Information Security Analyst - Risk and Resiliency- Austin, TX",0.72,0.77,0.34,0.63,0.37
1081," HGSE Diversity, Equity, and Inclusion Administrative Fellow",0.85,0.64,0.74,0.65,0.42
1082, Planning Analyst,0.83,0.94,0.34,0.61,0.31
1083, Sr. Business Intelligence Engineer,0.84,0.85,0.45,0.36,0.16
1084,Lead Data Engineer,0.73,0.82,0.31,0.65,0.26
1085," Data Scientist, Advanced Analytics",0.69,0.81,0.44,0.63,0.29
1086, Pricing Strategist,0.67,0.75,0.6,0.69,0.54
1087,"Associate, Big Data Software Engineer",0.77,0.77,0.39,0.56,0.32
1088," Info Security Engineer 5: Security Content Development Data Quality
Engineering",0.8,0.79,0.42,0.56,0.37
1089,"Strategy and Operations Associate, Sellside Global Operations Team",0.44,0.74,0.68,0.99,0.51
1090,Intern- Operational Readiness,0.59,0.62,0.67,0.66,0.43
1091, Data Designer,0.71,0.8,0.29,0.63,0.34
1092,Data Reporter,0.69,0.82,0.33,0.75,0.39
1093, Senior Project Analyst,0.81,0.8,0.26,0.61,0.25
1094,Senior Data Business Analyst,0.75,0.91,0.42,0.72,0.27
1095, Principal Data Scientist,0.79,0.81,0.26,0.69,0.2
1096, Shared Risk Platform Data Management Consultant (Analytic Cons 4),0.73,0.82,0.39,0.7,0.26
1097,Senior Solutions Design Engineer,0.86,0.86,0.39,0.5,0.29
1098, Associate Display Planner,0.55,0.75,0.78,0.92,0.68
1099,Senior BI Data Analyst,0.68,0.9,0.36,0.6,0.29
1100, Expert Data Scientist,0.72,0.87,0.43,0.66,0.33
1101, Sr. Analytics Consultant,0.65,0.56,0.6,0.65,0.46
1102, Vice President of Data Science,0.69,0.85,0.31,0.6,0.29
1103,Data Analyst - VP - CIB Treasury Services,0.68,0.94,0.42,0.69,0.22
1104,Big Data Analyst - Developer,0.81,0.91,0.4,0.57,0.33
1105," Senior Data Scientist, Investment Domain",0.82,0.87,0.38,0.64,0.31
1106,"Data Scientist I (Hinsdale, IL)",0.66,0.88,0.27,0.64,0.26
1107," Data Visualization Specialist - Consultant (Tableau) - Chicago, IL",0.76,0.78,0.39,0.71,0.23
1108, Sr Research Specialist,0.67,0.78,0.43,0.66,0.29
1109, Sr. Web Developer,0.72,0.93,0.47,0.52,0.28
1110," Data Protection Business Analyst, Info Protection & Gov, WW DSS",0.67,0.77,0.26,0.6,0.23
1111, Data Design Specialist,0.7,0.83,0.44,0.67,0.37
1112,"Data Visualization Specialist - Consultant (Tableau or Alteryx) - San
Francisco, CA",0.79,0.77,0.4,0.61,0.33
1113," Associate Analytics Director, Decision Sciences",0.57,0.85,0.85,0.81,0.64
1114, Customer Experience Advocate,0.55,0.69,0.7,0.72,0.59
1115,"Sr Analyst, Reporting & Analytics",0.85,0.76,0.41,0.68,0.33
1116,"Data Lead, Solutions",0.68,0.88,0.45,0.73,0.29
1117, Omnichannel Analyst,0.66,0.82,0.42,0.69,0.29
1118, Senior Tableau Developer,0.71,0.89,0.39,0.54,0.28
1119,Provider Partnerships Analyst,0.71,0.86,0.26,0.74,0.27
1120,Web Designer x 2,0.9,0.52,0.69,0.73,0.49
1121, 0247 Project Associate,0.4,0.76,0.68,0.93,0.51
1122,Competitive Intelligence Analyst/Senior Analyst,0.77,0.92,0.43,0.64,0.29
1123,Product Lead,0.52,0.78,0.96,0.8,0.53
1124, Software Engineer (BS - NG) for 2018,0.87,0.98,0.35,0.46,0.19
1125,CCBD Techology - Agile Delivery Team - Analyst,0.67,0.93,0.41,0.7,0.21
1126,"PROJECT OFFICER, GLOBAL BURDEN OF DISEASE",0.72,0.64,0.62,0.66,0.42
1127, Sr. Reporting and Visualization Engineer,0.85,0.92,0.34,0.39,0.19
1128, Local Analytics Manager - Detroit,0.51,0.77,0.97,0.75,0.46
1129, Sr Digital Marketing Analyst,0.76,0.91,0.32,0.62,0.32
1130,Display Media Supervisor,0.6,0.56,0.7,0.68,0.52
1131,Digital Media Analyst,0.8,0.89,0.29,0.62,0.23
1132, Business Intelligence/ETL Engineer - Lead Level Job,0.73,0.94,0.47,0.54,0.28
1133,"Internal Audit Analyst, Data Analytics and Automation",0.69,0.77,0.41,0.67,0.32
1134, Senior Database Developer,0.81,0.89,0.42,0.56,0.35
1135, CONSULTANT - Cloud Infrastructure Services,0.72,0.61,0.68,0.61,0.59
1136,"Researcher, Computational Epidemiology",0.66,0.87,0.28,0.69,0.24
1137,"Analytic Consultant 3 - Wholesale Customer Excellence Business Intelligence
Reporting",0.6,0.65,0.73,0.59,0.43
1138, Software Engineer,0.85,0.9,0.48,0.38,0.28
1139, Sales Operations Analyst,0.7,0.78,0.39,0.67,0.35
1140, Business Data Analyst,0.71,0.84,0.33,0.75,0.26
1141, Data Engineer - Alexa Information Experience,0.71,0.82,0.36,0.6,0.38
1142,PLM/Teamcenter Developer,0.75,0.98,0.32,0.48,0.33
1143,"Sr Specialist, UX Designer",0.83,0.64,0.64,0.79,0.49
1144, Associate – Workplace Analytics Customer Solutions,0.41,0.74,0.71,0.82,0.53
1145," Senior Product Manager, Data & Visualization",0.67,0.83,0.41,0.58,0.23
1146, Lead Engineer – Body Structures,0.83,0.84,0.32,0.38,0.33
1147,Analytic Consultant 3,0.71,0.62,0.68,0.66,0.54
1148, Manager of Security Intelligence,0.64,0.78,0.85,0.76,0.54
1149,Software Engineer (MS – NG) for 2018,0.88,0.91,0.47,0.55,0.18
1150, HR Technology Program Director Supervisor,0.64,0.78,1.0,0.95,0.59
1151," Risk Assessment Analyst, Risk and Response",0.7,0.91,0.27,0.71,0.38
1152," Data Analyst, Stitcher",0.73,0.88,0.34,0.64,0.26
1153, Application Administrator,0.5,0.89,0.84,0.83,0.67
1154, Sales Operations Analyst - Marketing Science,0.8,0.8,0.26,0.6,0.38
1155,Real World Evidence Informatician,0.68,0.69,0.6,0.69,0.41
1156, Data Scientist / Analytic Consultant 4,0.73,0.88,0.28,0.71,0.25
1157,Data Scientist-DIS,0.78,0.83,0.37,0.57,0.2
1158,UX Strategist,0.98,0.5,0.71,0.8,0.39
1159, Consultant - Analytics (Microsoft Power BI and Data Science),0.7,0.88,0.44,0.73,0.3
1160," Assistant Director, Enterprise Data Services",0.81,0.78,0.45,0.74,0.23
1161, Enterprise Data Architecture,0.71,0.77,0.3,0.71,0.28
1162,Data Analyst Lead - Greenplum Administrator,0.67,0.82,0.45,0.68,0.28
1163,Onsite Customer Service Admin (Google),0.38,0.9,0.81,0.86,0.51
